symbol,date,open,high,low,close,volume
VAMLRBBF,2024-06-24,4.8,4.9,4.8,4.8,81766.0
VAMLRBBF,2024-06-25,5.0,5.1,4.9,5.0,171256.0
VAMLRBBF,2024-06-26,5.1,5.1,4.9,5.0,73014.0
VAMLRBBF,2024-06-27,4.9,4.9,4.9,4.9,43019.0
VAMLRBBF,2024-06-30,4.8,4.9,4.8,4.9,15285.0
VAMLRBBF,2024-07-02,5.1,5.1,4.8,4.8,30461.0
VAMLRBBF,2024-07-03,4.9,4.9,4.8,4.8,67648.0
VAMLRBBF,2024-07-04,4.8,5.0,4.8,4.9,84886.0
VAMLRBBF,2024-07-07,5.0,5.3,5.0,5.2,290393.0
VAMLRBBF,2024-07-08,5.3,5.3,5.1,5.1,51738.0
VAMLRBBF,2024-07-09,5.0,5.2,5.0,5.1,18206.0
VAMLRBBF,2024-07-10,5.1,5.2,5.0,5.1,214312.0
VAMLRBBF,2024-07-11,5.0,5.0,5.0,5.0,118246.0
VAMLRBBF,2024-07-14,5.0,5.0,5.0,5.0,3175.0
VAMLRBBF,2024-07-15,5.0,5.1,4.9,4.9,21843.0
VAMLRBBF,2024-07-16,5.1,5.1,4.8,4.9,14728.0
VAMLRBBF,2024-07-18,4.8,4.9,4.8,4.8,26873.0
VAMLRBBF,2024-07-25,5.0,5.0,4.9,5.0,129.0
VAMLRBBF,2024-07-28,4.9,5.0,4.9,4.9,13156.0
VAMLRBBF,2024-07-29,4.8,4.8,4.8,4.8,100.0
VAMLRBBF,2024-07-30,5.2,5.2,4.7,4.7,28874.0
VAMLRBBF,2024-07-31,4.7,5.0,4.6,4.7,36890.0
VAMLRBBF,2024-08-01,5.0,5.0,4.7,4.7,5856.0
VAMLRBBF,2024-08-04,4.6,4.8,4.6,4.6,9126.0
VAMLRBBF,2024-08-06,5.0,5.0,4.9,4.9,7800.0
VAMLRBBF,2024-08-07,5.0,5.2,4.9,5.1,128496.0
VAMLRBBF,2024-08-08,5.5,5.6,5.1,5.6,419962.0
VAMLRBBF,2024-08-11,5.7,6.1,5.7,5.8,367403.0
VAMLRBBF,2024-08-12,5.7,5.8,5.7,5.7,99730.0
VAMLRBBF,2024-08-13,5.6,5.7,5.6,5.6,120373.0
VAMLRBBF,2024-08-14,6.1,6.1,5.5,5.6,95218.0
VAMLRBBF,2024-08-15,6.0,6.0,5.5,5.6,62625.0
VAMLRBBF,2024-08-18,5.5,5.5,5.5,5.5,217455.0
VAMLRBBF,2024-08-19,5.5,5.6,5.5,5.5,18350.0
VAMLRBBF,2024-08-20,5.5,5.5,5.4,5.4,33720.0
VAMLRBBF,2024-08-21,5.3,5.4,5.3,5.3,17137.0
VAMLRBBF,2024-08-22,5.3,5.4,5.3,5.4,12050.0
VAMLRBBF,2024-08-25,5.4,5.4,5.3,5.4,41931.0
VAMLRBBF,2024-08-27,5.4,5.4,5.4,5.4,5685.0
VAMLRBBF,2024-08-28,5.5,5.5,5.5,5.5,5368.0
VAMLRBBF,2024-08-29,5.5,5.7,5.3,5.7,242875.0
VAMLRBBF,2024-09-01,5.7,5.8,5.7,5.7,38116.0
VAMLRBBF,2024-09-02,5.8,5.8,5.5,5.5,30340.0
VAMLRBBF,2024-09-03,5.4,5.7,5.0,5.1,43235.0
VAMLRBBF,2024-09-04,5.5,5.5,5.1,5.2,2910.0
VAMLRBBF,2024-09-05,5.4,5.4,5.1,5.2,10017.0
VAMLRBBF,2024-09-08,5.4,5.4,5.1,5.1,23854.0
VAMLRBBF,2024-09-09,5.2,5.5,5.1,5.1,5124.0
VAMLRBBF,2024-09-10,5.3,5.3,5.0,5.1,15135.0
VAMLRBBF,2024-09-11,5.2,5.2,5.0,5.1,30010.0
VAMLRBBF,2024-09-12,5.1,5.2,5.1,5.1,26266.0
VAMLRBBF,2024-09-15,5.2,5.2,4.9,5.0,14205.0
VAMLRBBF,2024-09-17,5.4,5.4,5.1,5.2,25273.0
VAMLRBBF,2024-09-18,5.3,5.3,5.1,5.1,9123.0
VAMLRBBF,2024-09-19,5.5,5.5,5.1,5.1,3096.0
VAMLRBBF,2024-09-22,5.2,5.2,5.1,5.1,5001.0
VAMLRBBF,2024-09-23,5.5,5.5,4.9,5.0,34907.0
VAMLRBBF,2024-09-24,5.1,5.2,4.9,5.0,37119.0
VAMLRBBF,2024-09-25,4.9,4.9,4.7,4.8,112225.0
VAMLRBBF,2024-09-26,4.9,5.1,4.7,4.8,30716.0
VAMLRBBF,2024-09-29,5.1,5.1,4.8,4.9,22.0
VAMLRBBF,2024-09-30,4.9,4.9,4.8,4.8,47279.0
VAMLRBBF,2024-10-01,5.1,5.1,4.8,4.8,15714.0
VAMLRBBF,2024-10-02,5.1,5.1,4.6,4.7,60781.0
VAMLRBBF,2024-10-03,4.9,4.9,4.6,4.7,117516.0
VAMLRBBF,2024-10-06,4.8,4.8,4.7,4.7,16959.0
VAMLRBBF,2024-10-07,4.7,4.8,4.6,4.6,41179.0
VAMLRBBF,2024-10-08,4.6,4.7,4.5,4.5,67853.0
VAMLRBBF,2024-10-09,4.6,4.7,4.6,4.6,21157.0
VAMLRBBF,2024-10-14,4.7,4.8,4.5,4.6,41936.0
VAMLRBBF,2024-10-15,4.7,4.7,4.5,4.6,17297.0
VAMLRBBF,2024-10-16,4.7,4.7,4.5,4.5,4508.0
VAMLRBBF,2024-10-17,4.6,4.7,4.4,4.5,93192.0
VAMLRBBF,2024-10-20,4.6,4.6,4.4,4.4,7443.0
VAMLRBBF,2024-10-21,4.5,4.5,4.2,4.3,23677.0
VAMLRBBF,2024-10-22,4.5,4.5,4.3,4.3,45189.0
VAMLRBBF,2024-10-23,4.4,4.4,4.2,4.2,46083.0
VAMLRBBF,2024-10-24,4.2,4.3,4.2,4.3,40429.0
VAMLRBBF,2024-10-27,4.3,4.5,4.3,4.3,54563.0
VAMLRBBF,2024-10-28,4.2,4.5,4.2,4.3,20562.0
VAMLRBBF,2024-10-29,4.3,4.5,4.3,4.3,21914.0
VAMLRBBF,2024-10-30,4.5,4.7,4.5,4.6,24799.0
VAMLRBBF,2024-10-31,4.9,5.0,4.7,5.0,49932.0
VAMLRBBF,2024-11-03,5.5,5.5,5.2,5.5,590044.0
VAMLRBBF,2024-11-04,5.3,5.3,5.0,5.1,120271.0
VAMLRBBF,2024-11-05,4.8,5.3,4.8,5.3,146841.0
VAMLRBBF,2024-11-06,5.2,5.4,5.2,5.2,180842.0
VAMLRBBF,2024-11-07,5.4,5.4,5.2,5.2,42907.0
VAMLRBBF,2024-11-10,5.2,5.2,5.0,5.1,56081.0
VAMLRBBF,2024-11-11,5.3,5.3,5.1,5.2,484.0
VAMLRBBF,2024-11-12,5.3,5.3,5.1,5.1,11478.0
VAMLRBBF,2024-11-13,5.1,5.1,5.0,5.0,17380.0
VAMLRBBF,2024-11-14,5.0,5.2,5.0,5.2,37673.0
VAMLRBBF,2024-11-17,5.2,5.2,5.1,5.2,26752.0
VAMLRBBF,2024-11-18,5.1,5.1,5.1,5.1,1189.0
VAMLRBBF,2024-11-19,5.1,5.2,5.1,5.2,23320.0
VAMLRBBF,2024-11-20,5.2,5.2,5.1,5.2,2540.0
VAMLRBBF,2024-11-21,5.1,5.3,5.1,5.2,15544.0
VAMLRBBF,2024-11-24,5.1,5.1,5.1,5.1,46392.0
VAMLRBBF,2024-11-25,5.1,5.2,5.0,5.1,20246.0
VAMLRBBF,2024-11-26,5.0,5.1,5.0,5.1,30630.0
VAMLRBBF,2024-11-27,5.0,5.2,5.0,5.1,14174.0
VAMLRBBF,2024-11-28,5.2,5.2,5.1,5.1,2502.0
VAMLRBBF,2024-12-01,5.1,5.1,5.1,5.1,5001.0
VAMLRBBF,2024-12-02,5.1,5.1,5.0,5.1,10696.0
VAMLRBBF,2024-12-03,5.1,5.1,5.1,5.1,5600.0
VAMLRBBF,2024-12-04,5.1,5.4,5.1,5.3,766598.0
VAMLRBBF,2024-12-05,5.2,5.2,5.1,5.1,34051.0
VAMLRBBF,2024-12-08,5.1,5.1,4.9,5.0,20605.0
VAMLRBBF,2024-12-09,4.9,5.0,4.9,5.0,35954.0
VAMLRBBF,2024-12-10,5.2,5.2,4.9,5.0,86845.0
VAMLRBBF,2024-12-11,4.9,5.0,4.8,4.9,15697.0
VAMLRBBF,2024-12-12,4.9,4.9,4.9,4.9,5000.0
VAMLRBBF,2024-12-15,5.0,5.1,5.0,5.0,9698.0
VAMLRBBF,2024-12-17,5.0,5.1,5.0,5.0,11177.0
VAMLRBBF,2024-12-18,4.9,5.0,4.9,4.9,25201.0
VAMLRBBF,2024-12-19,4.8,4.9,4.8,4.8,89235.0
VAMLRBBF,2024-12-22,4.9,4.9,4.8,4.9,9100.0
VAMLRBBF,2024-12-23,4.6,5.0,4.6,4.9,7568.0
VAMLRBBF,2024-12-24,4.9,4.9,4.9,4.9,100.0
VAMLRBBF,2024-12-29,4.8,5.0,4.8,4.9,3650.0
VAMLRBBF,2024-12-30,4.9,4.9,4.8,4.9,12768.0
VAMLRBBF,2025-01-01,4.9,4.9,4.9,4.9,2777.0
VAMLRBBF,2025-01-02,4.9,4.9,4.9,4.9,13869.0
VAMLRBBF,2025-01-06,4.9,4.9,4.8,4.8,1730.0
VAMLRBBF,2025-01-07,5.0,5.1,5.0,5.0,2050.0
VAMLRBBF,2025-01-08,5.0,5.0,5.0,5.0,410.0
VAMLRBBF,2025-01-09,5.0,5.0,4.9,4.9,3050.0
VAMLRBBF,2025-01-12,4.9,5.0,4.8,4.9,16840.0
VAMLRBBF,2025-01-13,4.8,4.8,4.8,4.8,5200.0
VAMLRBBF,2025-01-14,4.9,4.9,4.8,4.8,10073.0
VAMLRBBF,2025-01-15,5.0,5.0,4.8,4.8,7050.0
VAMLRBBF,2025-01-16,5.0,5.0,4.8,4.8,5051.0
VAMLRBBF,2025-01-19,4.9,4.9,4.7,4.8,22598.0
VAMLRBBF,2025-01-20,4.9,4.9,4.8,4.8,20110.0
VAMLRBBF,2025-01-21,4.9,4.9,4.6,4.7,13404.0
VAMLRBBF,2025-01-22,4.7,4.8,4.7,4.8,7262.0
VAMLRBBF,2025-01-23,4.7,4.7,4.6,4.6,10700.0
VAMLRBBF,2025-01-26,4.6,4.7,4.5,4.5,23406.0
VAMLRBBF,2025-01-27,4.6,4.6,4.6,4.6,1500.0
VAMLRBBF,2025-01-28,4.6,4.7,4.5,4.5,32009.0
VAMLRBBF,2025-01-29,4.5,4.9,4.5,4.5,9373.0
VAMLRBBF,2025-01-30,4.5,4.7,4.4,4.4,14152.0
VAMLRBBF,2025-02-02,4.5,4.8,4.5,4.5,2096.0
VAMLRBBF,2025-02-03,4.7,4.7,4.5,4.7,11.0
VAMLRBBF,2025-02-04,4.8,4.8,4.6,4.6,9161.0
VAMLRBBF,2025-02-05,4.8,4.8,4.5,4.5,152957.0
VAMLRBBF,2025-02-06,4.5,4.7,4.3,4.3,176610.0
VAMLRBBF,2025-02-09,4.6,4.6,4.4,4.5,41162.0
VAMLRBBF,2025-02-10,4.4,4.4,4.4,4.4,101.0
VAMLRBBF,2025-02-11,4.4,4.5,4.4,4.4,18024.0
VAMLRBBF,2025-02-12,4.5,4.6,4.2,4.4,55928.0
VAMLRBBF,2025-02-13,4.4,4.4,4.2,4.3,175433.0
VAMLRBBF,2025-02-16,4.4,4.5,4.4,4.4,5513.0
VAMLRBBF,2025-02-17,4.4,4.5,4.4,4.4,33352.0
VAMLRBBF,2025-02-18,4.5,4.5,4.5,4.5,10000.0
VAMLRBBF,2025-02-19,4.4,4.5,4.4,4.4,31336.0
VAMLRBBF,2025-02-20,4.5,4.5,4.4,4.4,111040.0
VAMLRBBF,2025-02-23,4.4,4.5,4.4,4.4,104943.0
VAMLRBBF,2025-02-24,4.5,4.5,4.4,4.5,54116.0
VAMLRBBF,2025-02-25,4.5,4.6,4.5,4.5,19976.0
VAMLRBBF,2025-02-27,4.6,4.7,4.5,4.6,37107.0
VAMLRBBF,2025-03-02,4.5,4.5,4.5,4.5,100826.0
VAMLRBBF,2025-03-03,4.5,4.5,4.4,4.4,10000.0
VAMLRBBF,2025-03-04,4.5,4.6,4.4,4.4,32500.0
VAMLRBBF,2025-03-06,4.4,4.5,4.4,4.5,17880.0
VAMLRBBF,2025-03-09,4.5,4.6,4.5,4.6,106733.0
VAMLRBBF,2025-03-10,4.6,4.8,4.6,4.6,217763.0
VAMLRBBF,2025-03-11,4.8,5.0,4.8,5.0,277255.0
VAMLRBBF,2025-03-12,5.2,5.3,5.1,5.2,181349.0
VAMLRBBF,2025-03-13,5.0,5.3,5.0,5.2,220798.0
VAMLRBBF,2025-03-16,5.3,5.5,5.3,5.3,129879.0
VAMLRBBF,2025-03-17,5.3,5.4,5.3,5.4,118595.0
VAMLRBBF,2025-03-18,5.4,5.6,5.3,5.6,458080.0
VAMLRBBF,2025-03-19,5.6,5.7,5.5,5.6,1002538.0
VAMLRBBF,2025-03-20,5.5,5.6,5.5,5.6,263614.0
VAMLRBBF,2025-03-23,5.5,5.7,5.4,5.6,231566.0
VAMLRBBF,2025-03-24,5.5,5.7,5.5,5.6,396837.0
VAMLRBBF,2025-03-25,5.6,5.9,5.5,5.6,666780.0
VAMLRBBF,2025-03-27,5.8,6.0,5.7,5.9,110404.0
VAMLRBBF,2025-04-06,5.8,6.4,5.7,6.3,599583.0
VAMLRBBF,2025-04-07,6.4,6.4,6.2,6.2,348518.0
VAMLRBBF,2025-04-08,6.2,6.5,6.1,6.2,501467.0
VAMLRBBF,2025-04-09,6.2,6.3,5.8,5.9,281839.0
VAMLRBBF,2025-04-10,6.1,6.1,5.8,5.9,232246.0
VAMLRBBF,2025-04-13,5.9,5.9,5.6,5.7,135775.0
VAMLRBBF,2025-04-15,5.9,6.2,5.9,6.0,456323.0
VAMLRBBF,2025-04-16,5.7,6.2,5.7,5.8,166834.0
VAMLRBBF,2025-04-17,5.5,6.0,5.5,5.9,245771.0
VAMLRBBF,2025-04-20,6.0,6.2,5.9,5.9,156910.0
VAMLRBBF,2025-04-21,5.9,5.9,5.8,5.9,105825.0
VAMLRBBF,2025-04-22,5.9,5.9,5.8,5.9,33590.0
VAMLRBBF,2025-04-23,6.1,6.1,5.8,5.8,236583.0
VAMLRBBF,2025-04-24,5.5,5.8,5.5,5.6,78940.0
VAMLRBBF,2025-04-27,5.3,5.9,5.3,5.8,200618.0
VAMLRBBF,2025-04-28,5.7,6.1,5.6,5.8,154831.0
VAMLRBBF,2025-04-29,5.9,6.0,5.7,5.9,146119.0
VAMLRBBF,2025-04-30,5.9,5.9,5.8,5.9,12315.0
VAMLRBBF,2025-05-04,5.5,6.0,5.5,6.0,347201.0
VAMLRBBF,2025-05-05,6.1,6.4,6.0,6.4,655073.0
VAMLRBBF,2025-05-06,6.7,7.0,6.6,6.7,1265546.0
VAMLRBBF,2025-05-07,6.3,6.5,6.1,6.2,379571.0
VAMLRBBF,2025-05-08,6.2,6.5,6.0,6.4,979582.0
VAMLRBBF,2025-05-12,6.0,6.6,6.0,6.2,480636.0
VAMLRBBF,2025-05-13,6.4,6.4,6.0,6.1,483570.0
VAMLRBBF,2025-05-14,6.2,6.2,6.0,6.0,136169.0
VAMLRBBF,2025-05-15,6.1,6.4,5.7,6.0,250665.0
VAMLRBBF,2025-05-17,5.7,6.1,5.7,5.9,189370.0
VAMLRBBF,2025-05-18,6.1,6.2,5.9,5.9,188581.0
VAMLRBBF,2025-05-19,6.0,6.1,5.8,6.1,234848.0
VAMLRBBF,2025-05-20,5.8,6.1,5.8,5.9,158741.0
VAMLRBBF,2025-05-21,6.0,6.3,6.0,6.0,163555.0
VAMLRBBF,2025-05-22,5.9,6.1,5.9,6.1,293126.0
VAMLRBBF,2025-05-24,6.2,6.3,5.6,5.7,275024.0
VAMLRBBF,2025-05-25,5.7,6.0,5.7,5.7,272101.0
VAMLRBBF,2025-05-26,5.8,6.0,5.7,5.8,363341.0
VAMLRBBF,2025-05-27,5.7,5.9,5.7,5.8,70500.0
VAMLRBBF,2025-05-28,6.0,6.0,5.6,5.6,72805.0
VAMLRBBF,2025-05-29,5.4,5.8,5.4,5.6,216914.0
VAMLRBBF,2025-06-01,5.5,5.9,5.5,5.8,177447.0
VAMLRBBF,2025-06-02,5.7,5.9,5.7,5.9,272501.0
VAMLRBBF,2025-06-03,5.6,6.0,5.6,5.7,138608.0
VAMLRBBF,2025-06-04,5.9,5.9,5.8,5.9,7000.0
VAMLRBBF,2025-06-15,6.0,6.0,5.5,5.9,172867.0
VAMLRBBF,2025-06-16,5.9,6.2,5.8,6.0,464795.0
VAMLRBBF,2025-06-17,5.9,6.0,5.7,5.7,115248.0
VAMLRBBF,2025-06-18,5.9,5.9,5.7,5.7,488247.0
VAMLRBBF,2025-06-19,5.9,5.9,5.6,5.7,93714.0
VAMLRBBF,2025-06-22,5.9,5.9,5.5,5.5,324462.0
VAMLRBBF,2025-06-23,5.4,5.7,5.4,5.7,187660.0
VAMLRBBF,2025-06-24,5.8,5.8,5.5,5.8,147292.0
VAMLRBBF,2025-06-25,5.7,5.8,5.5,5.5,151287.0
VAMLRBBF,2025-06-26,5.5,5.8,5.5,5.6,324296.0
VAMLRBBF,2025-06-29,5.5,5.8,5.5,5.7,164754.0
VAMLRBBF,2025-06-30,5.8,5.8,5.7,5.8,108025.0
VAMLRBBF,2025-07-02,5.6,5.8,5.6,5.7,206031.0
VAMLRBBF,2025-07-03,5.8,6.0,5.8,6.0,330548.0
VAMLRBBF,2025-07-07,5.8,6.2,5.7,6.2,616196.0
VAMLRBBF,2025-07-08,6.2,6.4,6.0,6.1,213990.0
VAMLRBBF,2025-07-09,6.1,6.3,6.0,6.1,198376.0
VAMLRBBF,2025-07-10,6.0,6.2,5.9,6.1,298300.0
VAMLRBBF,2025-07-13,6.2,6.2,6.0,6.1,53937.0
VAMLRBBF,2025-07-14,6.0,6.2,6.0,6.1,176203.0
VAMLRBBF,2025-07-15,6.0,6.2,5.9,6.1,476265.0
VAMLRBBF,2025-07-16,6.2,6.3,6.1,6.1,173797.0
VAMLRBBF,2025-07-17,6.2,6.2,6.1,6.2,291655.0
VAMLRBBF,2025-07-20,6.2,6.2,6.0,6.0,98374.0
VAMLRBBF,2025-07-21,6.1,6.1,5.9,5.9,227653.0
VAMLRBBF,2025-07-22,5.8,6.1,5.8,5.9,139702.0
VAMLRBBF,2025-07-23,6.1,6.2,6.0,6.0,98801.0
VAMLRBBF,2025-07-24,6.2,6.2,5.9,5.9,205548.0
VAMLRBBF,2025-07-27,6.0,6.0,5.9,6.0,128005.0
VAMLRBBF,2025-07-28,6.2,6.2,5.9,6.0,266650.0
VAMLRBBF,2025-07-29,6.1,6.1,5.9,6.0,53878.0
VAMLRBBF,2025-07-30,6.1,6.2,5.8,6.1,264360.0
VAMLRBBF,2025-07-31,6.1,6.1,6.0,6.1,191693.0
VAMLRBBF,2025-08-03,6.1,6.3,6.0,6.2,235373.0
VAMLRBBF,2025-08-04,6.3,6.3,6.0,6.1,67654.0
VAMLRBBF,2025-08-06,6.2,6.3,6.0,6.1,156070.0
VAMLRBBF,2025-08-07,6.0,6.0,6.0,6.0,11998.0
VAMLRBBF,2025-08-10,6.4,6.4,5.8,6.0,152476.0
VAMLRBBF,2025-08-11,6.3,6.3,5.9,6.2,197653.0
VAMLRBBF,2025-08-12,6.1,6.2,5.9,6.0,21078.0
VAMLRBBF,2025-08-13,6.1,6.2,5.8,6.0,128381.0
VAMLRBBF,2025-08-14,6.0,6.1,5.6,5.7,93632.0
VAMLRBBF,2025-08-17,5.9,6.0,5.5,5.9,64017.0
VAMLRBBF,2025-08-18,5.8,6.0,5.8,5.9,8286.0
VAMLRBBF,2025-08-19,5.8,6.0,5.8,6.0,1772.0
VAMLRBBF,2025-08-20,6.0,6.0,5.8,5.8,1055.0
VAMLRBBF,2025-08-21,5.6,5.9,5.5,5.5,107085.0
VAMLRBBF,2025-08-24,5.4,6.0,5.4,5.7,106564.0
VAMLRBBF,2025-08-25,6.0,6.0,5.7,5.8,324562.0
VAMLRBBF,2025-08-26,6.1,6.1,5.8,5.8,22045.0
VAMLRBBF,2025-08-27,5.7,5.8,5.7,5.7,11850.0
VAMLRBBF,2025-08-28,5.9,6.0,5.7,5.8,102970.0
VAMLRBBF,2025-08-31,5.8,5.9,5.8,5.8,225120.0
VAMLRBBF,2025-09-01,5.9,5.9,5.8,5.8,18006.0
VAMLRBBF,2025-09-02,5.8,5.8,5.7,5.7,56378.0
VAMLRBBF,2025-09-03,5.7,6.0,5.7,5.7,265046.0
VAMLRBBF,2025-09-04,5.7,5.9,5.7,5.7,90000.0
VAMLRBBF,2025-09-07,5.9,6.0,5.8,5.9,197778.0
VAMLRBBF,2025-09-08,5.8,5.8,5.8,5.8,3000.0
VAMLRBBF,2025-09-09,5.8,6.0,5.8,5.9,510.0
VAMLRBBF,2025-09-10,5.8,5.8,5.7,5.7,79567.0
VAMLRBBF,2025-09-11,5.8,5.8,5.8,5.8,21210.0
VAMLRBBF,2025-09-15,5.9,5.9,5.8,5.8,14620.0
VAMLRBBF,2025-09-16,5.5,5.8,5.5,5.7,215745.0
VAMLRBBF,2025-09-17,5.7,5.7,5.6,5.7,26469.0
VAMLRBBF,2025-09-18,5.8,5.8,5.6,5.7,110626.0
VAMLRBBF,2025-09-21,5.7,5.7,5.6,5.6,25500.0
VAMLRBBF,2025-09-22,5.7,5.7,5.5,5.6,36365.0
VAMLRBBF,2025-09-23,5.6,5.8,5.6,5.6,312493.0
VAMLRBBF,2025-09-24,5.5,5.6,5.5,5.6,27550.0
VAMLRBBF,2025-09-28,6.1,6.1,5.5,5.5,8956.0
VAMLRBBF,2025-09-29,5.6,5.6,5.5,5.6,16600.0
VAMLRBBF,2025-09-30,5.8,5.8,5.5,5.6,11665.0
VAMLRBBF,2025-10-05,5.6,5.6,5.5,5.6,41390.0
VAMLRBBF,2025-10-06,5.6,5.7,5.6,5.6,49790.0
VAMLRBBF,2025-10-07,5.6,5.6,5.5,5.5,10049.0
VAMLRBBF,2025-10-08,5.6,5.7,5.1,5.4,76012.0
VAMLRBBF,2025-10-09,5.4,5.9,5.4,5.6,478254.0
VAMLRBBF,2025-10-12,5.8,6.1,5.6,5.6,117488.0
VAMLRBBF,2025-10-13,5.6,5.7,5.6,5.6,63765.0
VAMLRBBF,2025-10-14,5.7,5.8,5.5,5.7,102187.0
VAMLRBBF,2025-10-15,5.7,5.9,5.6,5.7,64913.0
VAMLRBBF,2025-10-16,5.5,6.0,5.4,5.9,400000.0
VAMLRBBF,2025-10-19,5.8,6.1,5.7,6.0,361813.0
VAMLRBBF,2025-10-20,6.1,6.1,5.9,6.0,88336.0
VAMLRBBF,2025-10-21,5.9,6.0,5.6,5.7,413864.0
VAMLRBBF,2025-10-22,5.8,5.9,5.6,5.9,226118.0
VAMLRBBF,2025-10-23,6.4,6.4,5.9,5.9,519895.0
VAMLRBBF,2025-10-26,5.9,5.9,5.8,5.8,15732.0
VAMLRBBF,2025-10-27,5.7,5.7,5.6,5.7,99000.0
VAMLRBBF,2025-10-28,5.7,5.8,5.7,5.7,74481.0
VAMLRBBF,2025-10-29,5.7,5.8,5.7,5.7,47500.0
VAMLRBBF,2025-10-30,5.8,5.8,5.6,5.7,306606.0
VAMLRBBF,2025-11-02,5.7,5.8,5.6,5.6,162023.0
VAMLRBBF,2025-11-03,5.6,5.7,5.4,5.5,96807.0
VAMLRBBF,2025-11-04,5.5,5.7,5.2,5.3,167225.0
VAMLRBBF,2025-11-05,5.5,5.6,5.4,5.4,122502.0
VAMLRBBF,2025-11-06,5.5,5.5,5.3,5.3,116253.0
VAMLRBBF,2025-11-09,5.6,5.6,5.1,5.1,111444.0
VAMLRBBF,2025-11-10,5.5,5.5,4.8,5.0,189592.0
VAMLRBBF,2025-11-11,5.2,5.2,4.9,4.9,23660.0
VAMLRBBF,2025-11-12,5.0,5.2,4.8,4.8,142623.0
VAMLRBBF,2025-11-13,4.8,4.8,4.7,4.8,242690.0
