symbol,date,open,high,low,close,volume
EBL1STMF,2024-06-02,4.3,4.3,4.2,4.2,12728.0
EBL1STMF,2024-06-03,4.1,4.2,4.1,4.1,29866.0
EBL1STMF,2024-06-04,4.0,4.2,4.0,4.0,51509.0
EBL1STMF,2024-06-05,4.2,4.2,3.9,4.0,15405.0
EBL1STMF,2024-06-06,4.1,4.1,3.9,4.1,7433.0
EBL1STMF,2024-06-09,4.0,4.2,4.0,4.1,20120.0
EBL1STMF,2024-06-10,4.0,4.1,4.0,4.0,4555.0
EBL1STMF,2024-06-11,3.9,4.0,3.9,3.9,17748.0
EBL1STMF,2024-06-12,3.9,4.1,3.8,4.0,15251.0
EBL1STMF,2024-06-13,4.1,4.1,3.9,3.9,34435.0
EBL1STMF,2024-06-19,3.9,3.9,3.8,3.9,4052.0
EBL1STMF,2024-06-20,4.0,4.0,3.9,3.9,2367.0
EBL1STMF,2024-06-23,3.9,4.1,3.9,4.0,10954.0
EBL1STMF,2024-06-24,3.9,4.0,3.9,4.0,23248.0
EBL1STMF,2024-06-25,4.1,4.1,3.9,4.0,24924.0
EBL1STMF,2024-06-26,3.9,4.0,3.9,4.0,7520.0
EBL1STMF,2024-06-27,4.0,4.0,3.9,4.0,46340.0
EBL1STMF,2024-06-30,3.9,4.0,3.9,3.9,88370.0
EBL1STMF,2024-07-02,3.9,4.0,3.8,4.0,36523.0
EBL1STMF,2024-07-03,3.9,4.0,3.9,4.0,31320.0
EBL1STMF,2024-07-04,4.0,4.1,3.9,4.0,227614.0
EBL1STMF,2024-07-07,4.1,4.3,4.0,4.2,92610.0
EBL1STMF,2024-07-08,4.2,4.3,4.2,4.2,138000.0
EBL1STMF,2024-07-09,4.3,4.3,4.1,4.2,103006.0
EBL1STMF,2024-07-10,4.3,4.5,4.3,4.3,127301.0
EBL1STMF,2024-07-11,4.2,4.3,4.2,4.3,15555.0
EBL1STMF,2024-07-14,4.2,4.2,4.2,4.2,25232.0
EBL1STMF,2024-07-15,4.2,4.2,4.1,4.1,15176.0
EBL1STMF,2024-07-16,4.2,4.2,4.0,4.0,5543.0
EBL1STMF,2024-07-18,3.9,4.0,3.9,4.0,12234.0
EBL1STMF,2024-07-24,3.9,3.9,3.9,3.9,10000.0
EBL1STMF,2024-07-25,3.9,3.9,3.8,3.8,166154.0
EBL1STMF,2024-07-28,3.9,3.9,3.7,3.8,30920.0
EBL1STMF,2024-07-29,3.8,3.8,3.7,3.8,13378.0
EBL1STMF,2024-07-30,3.7,3.8,3.7,3.7,137702.0
EBL1STMF,2024-07-31,3.8,3.8,3.7,3.8,7766.0
EBL1STMF,2024-08-01,3.8,3.8,3.7,3.8,14530.0
EBL1STMF,2024-08-04,3.7,3.8,3.7,3.7,166354.0
EBL1STMF,2024-08-06,4.0,4.0,3.8,3.9,127148.0
EBL1STMF,2024-08-07,4.0,4.2,4.0,4.2,319039.0
EBL1STMF,2024-08-08,4.5,4.6,4.2,4.6,245595.0
EBL1STMF,2024-08-11,4.8,5.0,4.8,4.9,561394.0
EBL1STMF,2024-08-12,4.8,5.1,4.8,4.8,136820.0
EBL1STMF,2024-08-13,4.8,4.8,4.7,4.8,38389.0
EBL1STMF,2024-08-14,4.7,5.1,4.7,4.8,180111.0
EBL1STMF,2024-08-15,5.1,5.1,4.7,4.7,111466.0
EBL1STMF,2024-08-18,4.7,4.7,4.6,4.7,98491.0
EBL1STMF,2024-08-19,4.7,4.7,4.6,4.6,7605.0
EBL1STMF,2024-08-20,4.5,4.5,4.5,4.5,42105.0
EBL1STMF,2024-08-21,4.4,4.4,4.4,4.4,4735.0
EBL1STMF,2024-08-22,4.3,4.4,4.3,4.3,33104.0
EBL1STMF,2024-08-25,4.3,4.7,4.3,4.7,231627.0
EBL1STMF,2024-08-27,5.1,5.1,4.6,4.6,68362.0
EBL1STMF,2024-08-28,4.5,5.0,4.5,4.9,57479.0
EBL1STMF,2024-08-29,4.8,4.9,4.6,4.8,79710.0
EBL1STMF,2024-09-01,4.7,4.8,4.7,4.7,58826.0
EBL1STMF,2024-09-02,4.5,5.0,4.4,4.4,245839.0
EBL1STMF,2024-09-03,4.6,4.6,4.0,4.2,87154.0
EBL1STMF,2024-09-04,3.9,4.5,3.9,4.2,27312.0
EBL1STMF,2024-09-05,4.2,4.3,4.2,4.2,21030.0
EBL1STMF,2024-09-08,4.4,4.4,4.1,4.2,55224.0
EBL1STMF,2024-09-09,4.0,4.2,3.9,4.1,41052.0
EBL1STMF,2024-09-10,4.3,4.3,4.0,4.1,25296.0
EBL1STMF,2024-09-11,4.0,4.4,4.0,4.3,129316.0
EBL1STMF,2024-09-12,4.4,4.4,4.2,4.3,80162.0
EBL1STMF,2024-09-15,4.3,4.3,3.9,4.0,256201.0
EBL1STMF,2024-09-17,4.2,4.2,3.9,4.0,105587.0
EBL1STMF,2024-09-18,3.9,4.0,3.9,4.0,55369.0
EBL1STMF,2024-09-19,4.1,4.1,3.9,4.0,128607.0
EBL1STMF,2024-09-22,4.0,4.1,3.9,4.0,64724.0
EBL1STMF,2024-09-23,3.9,4.0,3.9,3.9,36214.0
EBL1STMF,2024-09-24,3.8,4.1,3.8,4.0,264186.0
EBL1STMF,2024-09-25,3.9,3.9,3.8,3.9,53932.0
EBL1STMF,2024-09-26,3.8,3.8,3.6,3.6,289889.0
EBL1STMF,2024-09-29,3.8,3.8,3.6,3.6,85330.0
EBL1STMF,2024-09-30,3.6,3.6,3.4,3.5,68044.0
EBL1STMF,2024-10-01,3.6,3.6,3.5,3.6,59395.0
EBL1STMF,2024-10-02,3.6,3.6,3.3,3.3,458705.0
EBL1STMF,2024-10-03,3.3,3.5,3.0,3.2,657859.0
EBL1STMF,2024-10-07,3.2,3.3,3.1,3.3,255303.0
EBL1STMF,2024-10-08,3.3,3.3,3.2,3.3,84566.0
EBL1STMF,2024-10-09,3.3,3.4,3.3,3.3,40224.0
EBL1STMF,2024-10-14,3.3,3.4,3.3,3.4,19706.0
EBL1STMF,2024-10-15,3.4,3.4,3.4,3.4,175973.0
EBL1STMF,2024-10-16,3.4,3.4,3.2,3.3,61501.0
EBL1STMF,2024-10-17,3.4,3.4,3.3,3.3,15845.0
EBL1STMF,2024-10-20,3.4,3.4,3.2,3.3,99471.0
EBL1STMF,2024-10-21,3.3,3.3,3.2,3.3,51978.0
EBL1STMF,2024-10-22,3.3,3.3,3.3,3.3,35814.0
EBL1STMF,2024-10-23,3.3,3.3,3.2,3.2,26119.0
EBL1STMF,2024-10-24,3.3,3.3,3.2,3.3,57166.0
EBL1STMF,2024-10-27,3.3,3.4,3.2,3.3,152782.0
EBL1STMF,2024-10-28,3.3,3.3,3.1,3.2,131784.0
EBL1STMF,2024-10-29,3.1,3.4,3.1,3.3,131700.0
EBL1STMF,2024-10-30,3.2,3.5,3.2,3.4,155224.0
EBL1STMF,2024-10-31,3.7,3.7,3.6,3.7,286571.0
EBL1STMF,2024-11-03,4.0,4.0,3.9,4.0,586110.0
EBL1STMF,2024-11-04,4.2,4.2,3.9,3.9,412491.0
EBL1STMF,2024-11-05,3.9,4.1,3.8,3.9,153600.0
EBL1STMF,2024-11-06,4.0,4.1,3.8,3.9,238905.0
EBL1STMF,2024-11-07,3.8,4.0,3.8,3.8,139482.0
EBL1STMF,2024-11-10,3.9,3.9,3.7,3.9,256104.0
EBL1STMF,2024-11-11,3.8,3.9,3.8,3.9,56941.0
EBL1STMF,2024-11-12,3.9,3.9,3.8,3.8,117876.0
EBL1STMF,2024-11-13,3.8,3.8,3.7,3.7,72600.0
EBL1STMF,2024-11-14,3.9,3.9,3.7,3.8,35618.0
EBL1STMF,2024-11-17,3.8,3.9,3.7,3.8,39551.0
EBL1STMF,2024-11-18,3.7,3.8,3.5,3.6,106896.0
EBL1STMF,2024-11-19,3.6,3.7,3.6,3.6,55299.0
EBL1STMF,2024-11-20,3.8,3.8,3.5,3.6,45139.0
EBL1STMF,2024-11-21,3.6,3.6,3.6,3.6,53000.0
EBL1STMF,2024-11-24,3.7,3.7,3.5,3.6,10640.0
EBL1STMF,2024-11-25,3.7,3.7,3.5,3.5,54858.0
EBL1STMF,2024-11-26,3.5,3.5,3.4,3.5,72229.0
EBL1STMF,2024-11-27,3.4,3.7,3.4,3.6,71369.0
EBL1STMF,2024-11-28,3.7,3.7,3.5,3.6,40933.0
EBL1STMF,2024-12-01,3.4,3.6,3.4,3.5,5510.0
EBL1STMF,2024-12-02,3.6,3.6,3.5,3.6,38580.0
EBL1STMF,2024-12-03,3.6,3.6,3.5,3.6,18857.0
EBL1STMF,2024-12-04,3.6,3.9,3.6,3.9,336577.0
EBL1STMF,2024-12-05,3.9,4.2,3.9,4.0,429802.0
EBL1STMF,2024-12-08,4.0,4.0,3.8,3.8,91613.0
EBL1STMF,2024-12-09,4.0,4.1,3.8,4.0,187111.0
EBL1STMF,2024-12-10,4.1,4.1,3.8,3.9,56085.0
EBL1STMF,2024-12-11,4.1,4.1,3.9,3.9,74922.0
EBL1STMF,2024-12-12,3.9,4.0,3.9,3.9,3211.0
EBL1STMF,2024-12-15,4.0,4.0,3.8,3.8,20610.0
EBL1STMF,2024-12-17,4.0,4.0,3.8,3.8,27005.0
EBL1STMF,2024-12-18,3.9,4.0,3.8,3.9,32857.0
EBL1STMF,2024-12-19,3.9,3.9,3.6,3.8,156675.0
EBL1STMF,2024-12-22,3.9,3.9,3.6,3.7,243026.0
EBL1STMF,2024-12-23,3.8,3.9,3.7,3.8,83089.0
EBL1STMF,2024-12-24,3.7,3.7,3.7,3.7,16582.0
EBL1STMF,2024-12-26,3.6,3.7,3.6,3.7,10082.0
EBL1STMF,2024-12-29,3.7,3.8,3.7,3.7,12505.0
EBL1STMF,2024-12-30,3.7,3.8,3.7,3.7,10320.0
EBL1STMF,2025-01-01,3.7,3.7,3.7,3.7,30814.0
EBL1STMF,2025-01-02,3.7,3.8,3.7,3.8,51205.0
EBL1STMF,2025-01-05,3.7,3.8,3.7,3.7,66634.0
EBL1STMF,2025-01-06,3.8,3.8,3.7,3.7,13600.0
EBL1STMF,2025-01-07,3.8,3.8,3.7,3.8,23447.0
EBL1STMF,2025-01-08,3.7,3.8,3.7,3.8,44243.0
EBL1STMF,2025-01-09,3.8,3.8,3.8,3.8,16158.0
EBL1STMF,2025-01-12,3.8,3.8,3.6,3.6,135922.0
EBL1STMF,2025-01-13,3.6,3.7,3.6,3.7,25869.0
EBL1STMF,2025-01-14,3.7,3.8,3.6,3.6,22716.0
EBL1STMF,2025-01-15,3.6,3.8,3.6,3.7,33530.0
EBL1STMF,2025-01-16,3.8,3.8,3.6,3.7,3149.0
EBL1STMF,2025-01-19,3.7,3.7,3.5,3.5,158861.0
EBL1STMF,2025-01-20,3.6,3.6,3.5,3.5,33304.0
EBL1STMF,2025-01-21,3.5,3.7,3.5,3.5,108967.0
EBL1STMF,2025-01-22,3.5,3.6,3.5,3.5,46478.0
EBL1STMF,2025-01-23,3.5,3.6,3.5,3.5,23731.0
EBL1STMF,2025-01-26,3.5,3.6,3.5,3.5,20418.0
EBL1STMF,2025-01-27,3.6,3.6,3.4,3.4,81087.0
EBL1STMF,2025-01-28,3.5,3.5,3.4,3.5,14650.0
EBL1STMF,2025-01-29,3.5,3.5,3.4,3.4,8897.0
EBL1STMF,2025-01-30,3.5,3.5,3.4,3.5,25430.0
EBL1STMF,2025-02-02,3.4,3.4,3.4,3.4,3729.0
EBL1STMF,2025-02-03,3.4,3.7,3.4,3.5,27556.0
EBL1STMF,2025-02-04,3.5,3.5,3.4,3.5,7419.0
EBL1STMF,2025-02-05,3.5,3.6,3.4,3.5,69681.0
EBL1STMF,2025-02-06,3.6,3.7,3.5,3.6,37938.0
EBL1STMF,2025-02-09,3.6,3.7,3.6,3.6,160059.0
EBL1STMF,2025-02-10,3.6,3.6,3.5,3.5,149607.0
EBL1STMF,2025-02-11,3.7,3.7,3.5,3.5,121625.0
EBL1STMF,2025-02-12,3.6,3.6,3.5,3.6,23445.0
EBL1STMF,2025-02-13,3.5,3.6,3.5,3.5,90368.0
EBL1STMF,2025-02-16,3.5,3.7,3.5,3.6,173713.0
EBL1STMF,2025-02-17,3.6,3.9,3.6,3.9,658104.0
EBL1STMF,2025-02-18,4.0,4.2,3.9,4.1,946461.0
EBL1STMF,2025-02-19,4.1,4.5,4.1,4.5,944714.0
EBL1STMF,2025-02-20,4.5,4.7,4.2,4.6,768839.0
EBL1STMF,2025-02-23,4.8,5.0,4.7,4.8,1247994.0
EBL1STMF,2025-02-24,5.0,5.1,4.8,4.9,487308.0
EBL1STMF,2025-02-25,4.8,5.2,4.8,5.0,1205735.0
EBL1STMF,2025-02-26,5.2,5.3,4.7,4.8,846258.0
EBL1STMF,2025-02-27,5.1,5.2,4.8,5.0,992503.0
EBL1STMF,2025-03-02,5.1,5.4,5.0,5.0,619821.0
EBL1STMF,2025-03-03,5.2,5.3,4.7,4.9,459297.0
EBL1STMF,2025-03-04,5.0,5.1,4.7,4.8,208255.0
EBL1STMF,2025-03-05,4.9,4.9,4.6,4.7,193461.0
EBL1STMF,2025-03-06,4.7,5.0,4.7,4.8,331485.0
EBL1STMF,2025-03-09,4.9,5.0,4.7,4.8,93734.0
EBL1STMF,2025-03-10,4.7,4.8,4.5,4.7,366369.0
EBL1STMF,2025-03-11,4.8,5.1,4.6,4.9,1242139.0
EBL1STMF,2025-03-12,5.3,5.3,5.0,5.3,1232389.0
EBL1STMF,2025-03-13,5.7,5.8,5.3,5.6,978844.0
EBL1STMF,2025-03-16,5.8,6.0,5.3,5.7,751604.0
EBL1STMF,2025-03-17,5.9,6.2,5.3,6.2,1653645.0
EBL1STMF,2025-03-18,6.3,6.7,6.2,6.7,1451331.0
EBL1STMF,2025-03-19,6.7,7.2,6.6,7.0,958171.0
EBL1STMF,2025-03-20,7.0,7.2,6.3,6.6,1245907.0
EBL1STMF,2025-03-23,6.7,6.9,6.0,6.0,814439.0
EBL1STMF,2025-03-24,6.3,6.3,5.5,5.8,1419683.0
EBL1STMF,2025-03-25,5.9,6.3,5.9,6.3,780044.0
EBL1STMF,2025-03-27,6.4,6.5,5.7,5.8,1697122.0
EBL1STMF,2025-04-06,5.9,6.0,5.6,5.7,854033.0
EBL1STMF,2025-04-07,5.9,6.2,5.2,5.9,1427172.0
EBL1STMF,2025-04-08,6.1,6.2,5.8,6.1,646218.0
EBL1STMF,2025-04-09,6.1,6.2,5.6,5.7,512511.0
EBL1STMF,2025-04-10,5.8,5.9,5.5,5.6,421262.0
EBL1STMF,2025-04-13,5.5,5.8,5.5,5.6,285817.0
EBL1STMF,2025-04-15,5.7,5.8,5.5,5.7,315569.0
EBL1STMF,2025-04-16,5.8,5.8,5.4,5.5,490359.0
EBL1STMF,2025-04-17,5.7,5.8,5.5,5.7,157311.0
EBL1STMF,2025-04-20,5.7,5.8,5.4,5.5,231776.0
EBL1STMF,2025-04-21,5.6,5.6,5.0,5.2,175686.0
EBL1STMF,2025-04-22,5.5,5.7,5.4,5.5,403335.0
EBL1STMF,2025-04-23,5.6,5.7,5.4,5.5,212655.0
EBL1STMF,2025-04-24,5.4,5.6,5.4,5.5,137568.0
EBL1STMF,2025-04-27,5.6,6.0,5.3,5.6,818311.0
EBL1STMF,2025-04-28,5.7,5.9,5.3,5.6,605443.0
EBL1STMF,2025-04-29,5.7,5.7,5.3,5.6,281772.0
EBL1STMF,2025-04-30,5.7,5.7,5.2,5.3,470348.0
EBL1STMF,2025-05-04,5.5,5.8,5.2,5.3,6964301.0
EBL1STMF,2025-05-05,5.5,5.5,5.2,5.3,793253.0
EBL1STMF,2025-05-06,5.3,5.3,5.0,5.1,1585351.0
EBL1STMF,2025-05-07,5.1,5.1,4.6,4.7,418018.0
EBL1STMF,2025-05-08,4.6,5.0,4.6,4.9,756572.0
EBL1STMF,2025-05-12,5.0,5.1,4.8,4.9,1235743.0
EBL1STMF,2025-05-13,5.0,5.0,4.7,4.8,676044.0
EBL1STMF,2025-05-14,4.8,4.8,4.6,4.7,201986.0
EBL1STMF,2025-05-15,4.7,4.8,4.5,4.5,449120.0
EBL1STMF,2025-05-17,4.5,4.7,4.5,4.6,308319.0
EBL1STMF,2025-05-18,4.6,4.7,4.4,4.5,295616.0
EBL1STMF,2025-05-19,4.6,4.6,4.3,4.4,191035.0
EBL1STMF,2025-05-20,4.4,4.5,4.2,4.3,243047.0
EBL1STMF,2025-05-21,4.4,4.6,4.4,4.5,211335.0
EBL1STMF,2025-05-22,4.5,4.6,4.4,4.4,242899.0
EBL1STMF,2025-05-24,4.4,4.5,4.2,4.3,327429.0
EBL1STMF,2025-05-25,4.3,4.3,4.1,4.2,400847.0
EBL1STMF,2025-05-26,4.3,4.3,4.1,4.2,399003.0
EBL1STMF,2025-05-27,4.3,4.3,4.1,4.2,251861.0
EBL1STMF,2025-05-28,4.3,4.3,4.1,4.1,213205.0
EBL1STMF,2025-05-29,4.2,4.2,4.1,4.1,168844.0
EBL1STMF,2025-06-01,4.2,4.2,4.0,4.1,181698.0
EBL1STMF,2025-06-02,4.2,4.2,4.1,4.1,138562.0
EBL1STMF,2025-06-03,4.2,4.3,4.0,4.2,626654.0
EBL1STMF,2025-06-04,4.3,4.3,4.2,4.3,175818.0
EBL1STMF,2025-06-15,4.3,4.5,4.2,4.4,457224.0
EBL1STMF,2025-06-16,4.4,4.6,4.4,4.5,443731.0
EBL1STMF,2025-06-17,4.5,4.6,4.4,4.5,406512.0
EBL1STMF,2025-06-18,4.5,4.6,4.4,4.4,610384.0
EBL1STMF,2025-06-19,4.5,4.5,4.3,4.4,103050.0
EBL1STMF,2025-06-22,4.3,4.4,4.2,4.3,71743.0
EBL1STMF,2025-06-23,4.4,4.4,4.2,4.2,114375.0
EBL1STMF,2025-06-24,4.3,4.5,4.3,4.4,515823.0
EBL1STMF,2025-06-25,4.4,4.5,4.3,4.3,57342.0
EBL1STMF,2025-06-26,4.4,4.4,4.2,4.2,1466760.0
EBL1STMF,2025-06-29,4.3,4.4,4.2,4.3,711861.0
EBL1STMF,2025-06-30,4.3,4.3,4.2,4.2,85633.0
EBL1STMF,2025-07-02,4.3,4.4,4.2,4.3,587685.0
EBL1STMF,2025-07-03,4.3,4.5,4.3,4.4,1226735.0
EBL1STMF,2025-07-07,4.4,4.7,4.4,4.7,1188675.0
EBL1STMF,2025-07-08,4.6,4.7,4.5,4.6,593631.0
EBL1STMF,2025-07-09,4.6,4.7,4.5,4.6,603174.0
EBL1STMF,2025-07-10,4.6,4.7,4.5,4.6,900768.0
EBL1STMF,2025-07-13,4.6,5.0,4.6,5.0,4304864.0
EBL1STMF,2025-07-14,5.0,5.1,4.9,5.0,1461401.0
EBL1STMF,2025-07-15,5.0,5.1,4.8,4.8,881506.0
EBL1STMF,2025-07-16,4.9,4.9,4.7,4.9,1521166.0
EBL1STMF,2025-07-17,4.9,5.0,4.8,4.8,770063.0
EBL1STMF,2025-07-20,4.9,4.9,4.6,4.6,860155.0
EBL1STMF,2025-07-21,4.6,4.7,4.6,4.6,558817.0
EBL1STMF,2025-07-22,4.6,4.8,4.6,4.7,778017.0
EBL1STMF,2025-07-23,4.7,4.8,4.6,4.7,769335.0
EBL1STMF,2025-07-24,4.7,4.8,4.6,4.7,727272.0
EBL1STMF,2025-07-27,4.7,4.8,4.7,4.8,228152.0
EBL1STMF,2025-07-28,4.8,4.8,4.7,4.7,634247.0
EBL1STMF,2025-07-29,4.7,4.8,4.6,4.6,200364.0
EBL1STMF,2025-07-30,4.7,4.7,4.5,4.6,580770.0
EBL1STMF,2025-07-31,4.6,4.7,4.6,4.6,393090.0
EBL1STMF,2025-08-03,4.6,4.7,4.6,4.7,68114.0
EBL1STMF,2025-08-04,4.6,4.7,4.6,4.6,215590.0
EBL1STMF,2025-08-06,4.6,4.6,4.4,4.5,546192.0
EBL1STMF,2025-08-07,4.5,4.6,4.3,4.4,417664.0
EBL1STMF,2025-08-10,4.3,4.4,4.2,4.2,179992.0
EBL1STMF,2025-08-11,4.3,4.3,4.2,4.2,163159.0
EBL1STMF,2025-08-12,4.3,4.3,4.2,4.2,57652.0
EBL1STMF,2025-08-13,4.2,4.2,4.1,4.1,238148.0
EBL1STMF,2025-08-14,4.1,4.2,4.1,4.1,133966.0
EBL1STMF,2025-08-17,4.1,4.2,4.0,4.1,185457.0
EBL1STMF,2025-08-18,4.1,4.2,4.1,4.2,70155.0
EBL1STMF,2025-08-19,4.2,4.2,4.0,4.2,397991.0
EBL1STMF,2025-08-20,4.0,4.2,4.0,4.1,325974.0
EBL1STMF,2025-08-21,4.0,4.1,4.0,4.1,73858.0
EBL1STMF,2025-08-24,4.0,4.1,3.9,3.9,164720.0
EBL1STMF,2025-08-25,3.9,4.2,3.9,4.1,419744.0
EBL1STMF,2025-08-26,4.0,4.2,4.0,4.1,159506.0
EBL1STMF,2025-08-27,4.0,4.2,4.0,4.1,228590.0
EBL1STMF,2025-08-28,4.0,4.4,4.0,4.4,419693.0
EBL1STMF,2025-08-31,4.4,4.4,4.1,4.2,560554.0
EBL1STMF,2025-09-01,4.2,4.2,4.1,4.2,90735.0
EBL1STMF,2025-09-02,4.1,4.2,4.1,4.1,46005.0
EBL1STMF,2025-09-03,4.1,4.3,4.1,4.2,374987.0
EBL1STMF,2025-09-04,4.2,4.3,4.2,4.3,314629.0
EBL1STMF,2025-09-07,4.2,4.6,4.2,4.6,686599.0
EBL1STMF,2025-09-08,4.5,4.6,4.4,4.4,438133.0
EBL1STMF,2025-09-09,4.3,4.5,4.3,4.3,397451.0
EBL1STMF,2025-09-10,4.3,4.4,4.2,4.2,193865.0
EBL1STMF,2025-09-11,4.1,4.4,4.1,4.4,88180.0
EBL1STMF,2025-09-14,4.3,4.5,4.3,4.4,332120.0
EBL1STMF,2025-09-15,4.3,4.4,4.3,4.3,71970.0
EBL1STMF,2025-09-16,4.2,4.4,4.2,4.2,28575.0
EBL1STMF,2025-09-17,4.2,4.3,4.1,4.2,166897.0
EBL1STMF,2025-09-18,4.1,4.3,4.1,4.1,92432.0
EBL1STMF,2025-09-21,4.3,4.3,4.1,4.1,34613.0
EBL1STMF,2025-09-22,4.1,4.2,4.1,4.1,31126.0
EBL1STMF,2025-09-23,4.0,4.3,4.0,4.2,37717.0
EBL1STMF,2025-09-24,4.2,4.3,4.1,4.2,127453.0
EBL1STMF,2025-09-25,4.1,4.3,4.1,4.2,43029.0
EBL1STMF,2025-09-28,4.1,4.3,4.1,4.2,27400.0
EBL1STMF,2025-09-29,4.1,4.3,4.1,4.2,9128.0
EBL1STMF,2025-09-30,4.2,4.2,4.1,4.1,39389.0
EBL1STMF,2025-10-05,4.1,4.3,4.1,4.2,74281.0
EBL1STMF,2025-10-06,4.2,4.2,4.1,4.2,36011.0
EBL1STMF,2025-10-07,4.1,4.2,4.0,4.0,154399.0
EBL1STMF,2025-10-08,4.0,4.2,4.0,4.1,27375.0
EBL1STMF,2025-10-09,4.0,4.2,4.0,4.1,147584.0
EBL1STMF,2025-10-12,4.2,4.2,4.0,4.0,68887.0
EBL1STMF,2025-10-13,4.0,4.2,4.0,4.1,8321.0
EBL1STMF,2025-10-14,4.1,4.1,4.0,4.1,66771.0
EBL1STMF,2025-10-15,4.1,4.1,4.0,4.1,89008.0
EBL1STMF,2025-10-16,4.1,4.1,3.9,4.0,67542.0
EBL1STMF,2025-10-19,3.9,4.1,3.9,3.9,46111.0
EBL1STMF,2025-10-20,3.9,4.0,3.9,3.9,126079.0
EBL1STMF,2025-10-21,3.9,4.1,3.9,3.9,125400.0
EBL1STMF,2025-10-22,3.9,4.0,3.9,3.9,33735.0
EBL1STMF,2025-10-23,3.9,4.1,3.9,4.0,45935.0
EBL1STMF,2025-10-26,3.9,4.1,3.9,3.9,27141.0
EBL1STMF,2025-10-27,3.8,4.0,3.7,3.8,64199.0
EBL1STMF,2025-10-28,3.7,4.0,3.7,3.9,9704.0
EBL1STMF,2025-10-29,3.8,4.0,3.8,3.9,10910.0
EBL1STMF,2025-10-30,3.8,4.0,3.8,3.9,20862.0
EBL1STMF,2025-11-02,3.9,4.0,3.8,3.9,46946.0
EBL1STMF,2025-11-03,3.8,3.9,3.7,3.8,49452.0
EBL1STMF,2025-11-04,3.7,3.9,3.7,3.9,17330.0
EBL1STMF,2025-11-05,3.9,3.9,3.7,3.7,12448.0
EBL1STMF,2025-11-06,3.8,3.9,3.7,3.7,65786.0
EBL1STMF,2025-11-09,3.7,3.8,3.6,3.6,15990.0
EBL1STMF,2025-11-10,3.6,3.7,3.3,3.4,123800.0
EBL1STMF,2025-11-11,3.4,3.5,3.4,3.5,3621.0
EBL1STMF,2025-11-12,3.3,3.3,3.0,3.0,188624.0
EBL1STMF,2025-11-13,3.1,3.1,2.7,2.8,383628.0
